instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
19,2011-01-19,1,0,1,0,3,1,2,11.979134,0.298422,0.741739,13.957239,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,10.728347,0.25505,0.538333,13.125568,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,7.2775,0.157833,0.457083,23.667214,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,2.4243464,0.0790696,0.4,11.52199,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,3.9573897000000002,0.0988391,0.436522,16.5222,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,3.9930433,0.11793,0.491739,10.60811,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,9.162598000000001,0.234526,0.616957,8.696332,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,8.9175,0.2036,0.8625,19.68795,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,7.995,0.2197,0.6875,7.627078999999999,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,8.342597999999999,0.223317,0.793043,8.2611,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,8.057402,0.212126,0.651739,9.739455,123,975,1098
30,2011-01-30,1,0,1,0,0,0,1,8.877402,0.250322,0.722174,4.956834199999999,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,7.414153,0.18625,0.60375,12.541864,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,7.8791340000000005,0.23453,0.829565,3.565271,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,10.66,0.254417,0.775417,17.708636,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,7.665237,0.177878,0.437826,18.609384,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,8.663464,0.228587,0.585217,8.565213,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,9.566653,0.243058,0.929167,10.792293,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,11.719153,0.291671,0.568333,9.5006,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,11.138347,0.303658,0.738333,3.0423561,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,9.054153,0.198246,0.537917,24.25065,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,5.526102999999999,0.144283,0.494783,12.652213,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,5.918268,0.149548,0.437391,14.869645,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,7.752731000000001,0.213509,0.506364,7.272849999999999,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,9.1225,0.232954,0.544167,13.625589,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,12.977402000000001,0.324113,0.457391,17.479160999999998,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,17.015,0.39835,0.375833,27.999836,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,10.909567000000001,0.254274,0.314348,19.522058,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,13.048701000000001,0.3162,0.423478,16.869996999999998,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,17.869153,0.428658,0.505,15.416968,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,21.388347,0.511983,0.516667,17.749975000000003,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,16.365847,0.391404,0.187917,34.000021,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,11.693897,0.27733,0.407826,14.956745,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,12.436653000000002,0.284075,0.605,20.625682,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,7.471102,0.186033,0.577778,13.110761,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,9.091299,0.245717,0.423043,6.3055710000000005,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,12.121732000000002,0.289191,0.697391,16.783231999999998,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,14.938268,0.350461,0.712174,23.218113,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,11.5825,0.282192,0.537917,12.500257,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,14.082598,0.351109,0.68,8.391615999999999,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,16.698193,0.400118,0.876364,19.408962,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,10.933347,0.263879,0.535,14.500475,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,13.735000000000001,0.320071,0.449583,20.624811,231,1903,2134
62,2011-03-03,1,0,3,0,4,1,1,8.131653,0.200133,0.318333,15.125518000000001,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,10.728347,0.255679,0.610417,13.624182,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,15.750846999999998,0.378779,0.789167,16.875357,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,15.437402,0.366252,0.948261,23.000229,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,10.731299,0.238461,0.551304,22.870584,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,11.9925,0.3024,0.420833,8.083549999999999,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,12.129153,0.286608,0.775417,14.750050000000002,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,15.952731,0.385668,0.0,17.545759,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,12.977402000000001,0.305,0.649565,15.60899,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,13.495847,0.32575,0.594583,14.791924999999999,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,15.758268000000001,0.380091,0.527391,18.130468,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,13.333896999999999,0.332,0.496957,9.174042,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,13.013031,0.318178,0.655652,12.348703,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,14.973897000000001,0.36693,0.776522,13.608839,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,17.015,0.410333,0.602917,14.041792999999998,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,22.14,0.527009,0.525217,15.478139,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,19.3725,0.466525,0.379167,24.667189,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,13.6325,0.32575,0.47375,13.917307,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,17.647835,0.409735,0.737391,19.348461,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,18.108347,0.440642,0.624583,15.125250000000001,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,14.225237,0.337939,0.839565,15.695487,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,11.684999999999999,0.270833,0.805833,16.333729,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,10.830846999999999,0.256312,0.495,15.458575000000002,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,10.899153,0.257571,0.394167,14.041257,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,10.374763000000002,0.250339,0.493913,12.348099999999999,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,10.838268000000001,0.257574,0.302174,14.217668,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,12.4025,0.292908,0.314167,15.208732,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,12.299999999999999,0.29735,0.646667,11.583495999999998,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,11.001653,0.257575,0.918333,14.582282000000001,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,12.299999999999999,0.283454,0.68625,17.333436,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,12.915000000000001,0.315637,0.65375,13.208782,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,15.511652999999999,0.378767,0.48,12.208271000000002,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,23.506653,0.542929,0.42625,25.833257,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,16.980847,0.39835,0.642083,26.000488999999998,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,16.024153,0.387608,0.470833,17.625221,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,17.9375,0.433696,0.602917,10.874904,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,13.769153,0.324479,0.83625,15.208464,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,14.0425,0.341529,0.8775,8.916561,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,17.493347,0.426737,0.8575,9.833389,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,24.421732,0.565217,0.716956,21.739758,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,20.6025,0.493054,0.739167,18.416892999999998,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,16.912499999999998,0.417283,0.819167,16.791338999999997,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,19.1675,0.462742,0.540417,7.4169,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,18.313347,0.441913,0.67125,15.167124999999999,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,17.664153000000002,0.425492,0.888333,22.834136,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,18.723347,0.445696,0.479583,20.334232,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,21.0125,0.503146,0.5425,10.958988999999999,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,20.739152999999998,0.489258,0.665833,10.584057,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,24.395,0.564392,0.614167,16.208975,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,18.825847,0.453892,0.407083,21.792286,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,13.803347,0.321954,0.729583,14.707906999999999,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,18.86,0.450121,0.887917,15.458575000000002,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,23.848347,0.551763,0.810833,12.875725000000001,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,24.873347,0.5745,0.776667,12.417311,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,25.898346999999998,0.594083,0.729167,21.875500000000002,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,25.419999999999998,0.575142,0.835417,20.917399999999997,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,25.317500000000003,0.578929,0.700833,21.500836000000003,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,20.91,0.497463,0.457083,16.084221,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,19.3725,0.464021,0.503333,15.750025,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,18.518347,0.448204,0.762083,7.125718,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,22.515846999999997,0.532833,0.73,12.291418,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,25.283347,0.582079,0.697083,22.958689,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,16.980847,0.40465,0.737083,22.042732,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,18.825847,0.441917,0.444167,19.791263999999998,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,19.645847,0.474117,0.59,15.292482,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,21.32,0.512621,0.54125,10.750150000000001,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,21.661653,0.518933,0.631667,5.0007125,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,21.8325,0.525246,0.58875,11.792,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,21.8325,0.522721,0.489167,7.749956999999999,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,22.2425,0.5284,0.632917,8.083014,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,21.935000000000002,0.523363,0.7475,12.707689,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,21.0125,0.4943,0.863333,12.041575,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,21.354153,0.500629,0.9225,9.041649999999999,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,23.0625,0.536,0.867083,10.249593,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,23.677500000000002,0.550512,0.787917,8.500357000000001,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,23.028347,0.538529,0.837917,18.582718,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,22.55,0.527158,0.87,13.499964,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,21.764153,0.510742,0.829583,7.250271000000001,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,22.003347,0.529042,0.719583,8.375871,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,24.7025,0.571975,0.626667,8.083549999999999,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,24.770847,0.5745,0.749583,9.916536,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,25.898346999999998,0.590296,0.81,15.667413999999999,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,27.060000000000002,0.604813,0.740833,13.875164,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,27.094153,0.615542,0.69625,10.333611000000001,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,29.041653,0.654688,0.6775,13.376014,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,27.948347000000002,0.637008,0.65375,16.125493,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,26.889153,0.612379,0.729583,15.416164,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,27.3675,0.61555,0.81875,14.333846,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,30.066653000000002,0.671092,0.685,8.792075,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,31.775000000000002,0.725383,0.636667,7.459042999999999,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,31.330847000000002,0.720967,0.677083,13.875164,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,29.314999999999998,0.643942,0.305,19.583229000000003,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,25.419999999999998,0.587133,0.354167,16.959107,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,26.035,0.594696,0.45625,8.250514,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,26.581653000000003,0.616804,0.6525,9.292364000000001,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,27.811653,0.621858,0.6,8.167032,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,29.0075,0.65595,0.597917,12.583136,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,31.809153,0.727279,0.622083,9.166739,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,33.141653,0.757579,0.568333,10.042161,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,30.955000000000002,0.703292,0.605,9.417118,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,29.724999999999998,0.678038,0.654583,10.374949999999998,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,28.392500000000002,0.643325,0.747917,10.958988999999999,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,26.035,0.601654,0.494583,20.45845,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,24.770847,0.591546,0.507083,18.041961,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,25.693347,0.587754,0.471667,11.250104,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,25.761653000000003,0.595346,0.688333,13.833556999999999,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,26.615847000000002,0.600383,0.735833,9.582942999999998,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,28.563347,0.643954,0.670417,8.000336,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,28.665847,0.645846,0.666667,6.834,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,26.035,0.595346,0.74625,10.416825,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,27.914153000000002,0.637646,0.770417,11.458675000000001,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,30.066653000000002,0.693829,0.7075,11.541554,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,29.861653,0.693833,0.703333,15.999868,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,29.690847,0.656583,0.573333,14.875675,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,28.494999999999997,0.643313,0.483333,14.041257,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,27.880000000000003,0.637629,0.513333,6.3337311,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,27.982499999999998,0.637004,0.658333,7.2083960000000005,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,30.510847000000002,0.692558,0.634167,9.666960999999999,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,29.861653,0.654688,0.497917,17.542007,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,28.563347,0.637008,0.434167,12.415904000000001,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,29.622500000000002,0.652162,0.39625,6.874736,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,30.271653,0.667308,0.444583,7.709154,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,29.383347,0.668575,0.6825,15.333486,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,29.793346999999997,0.665417,0.637917,5.4591064000000005,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,30.613346999999997,0.696338,0.590417,8.459286,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,29.52,0.685633,0.743333,10.042161,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,30.75,0.686871,0.65125,10.666400000000001,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,29.075847,0.670483,0.757917,15.083643,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,30.066653000000002,0.664158,0.609167,11.250104,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,30.6475,0.690025,0.578333,12.292557,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,31.2625,0.729804,0.635833,18.916579,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,32.560846999999995,0.739275,0.559167,13.417017999999999,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,30.613346999999997,0.689404,0.631667,9.790911000000001,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,27.914153000000002,0.635104,0.47625,16.124689,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,27.196652999999998,0.624371,0.59125,12.249811,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,28.153347,0.638263,0.585,13.958914,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,29.485847,0.669833,0.604167,16.417211,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,30.613346999999997,0.703925,0.65125,14.458867999999999,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,31.843347,0.747479,0.650417,8.7502,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,31.501653,0.74685,0.707083,7.625739,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,33.415,0.826371,0.69125,14.875407,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,34.781653,0.840896,0.580417,8.9177,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,34.815847,0.804287,0.5,8.791807,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,34.03,0.794829,0.550833,11.334456999999999,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,30.476653000000002,0.720958,0.757083,6.0841560999999995,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,31.638347,0.696979,0.540833,13.417285999999999,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,31.775000000000002,0.690667,0.402917,12.292020999999998,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,31.945847,0.7399,0.583333,11.958093,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,34.371653,0.785967,0.5425,11.667245999999999,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,32.970847,0.728537,0.465833,11.291979,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,33.039153,0.729796,0.480833,11.042470999999999,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,31.638347,0.703292,0.550833,10.500039,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,32.116653,0.707071,0.49125,13.79195,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,29.998347,0.679937,0.6575,9.084061,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,29.11,0.664788,0.7575,13.20905,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,29.144153000000003,0.656567,0.630833,12.374632,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,29.383347,0.676154,0.755,15.29275,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,30.442500000000003,0.715292,0.752917,13.499629,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,31.365000000000002,0.703283,0.592083,12.875725000000001,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,31.775000000000002,0.724121,0.570417,10.125107,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,31.433346999999998,0.684983,0.424167,13.417285999999999,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,29.4175,0.651521,0.42375,11.041332,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,29.041653,0.654042,0.415,8.416607,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,28.119153,0.645858,0.729583,14.167418,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,27.743347,0.624388,0.8175,14.916411,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,27.299153,0.616167,0.712083,13.999918,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,28.734153000000003,0.645837,0.578333,15.834043000000001,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,29.656653,0.666671,0.575417,9.625689,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,29.178347000000002,0.662258,0.654583,15.624936,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,28.085,0.633221,0.722917,9.333635999999998,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,28.5975,0.648996,0.674167,6.999289,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,29.144153000000003,0.675525,0.77,16.666518,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,28.358347000000002,0.638254,0.47,18.54225,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,26.274153,0.606067,0.455417,9.833121,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,27.606652999999998,0.630692,0.605,16.958236,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,28.050846999999997,0.645854,0.771667,14.125810999999999,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,28.7,0.659733,0.76125,5.625487499999999,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,27.880000000000003,0.635556,0.85,25.166338999999997,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,28.989418999999998,0.647959,0.561765,20.412153,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,26.103347,0.607958,0.554583,10.708275,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,26.205847000000002,0.594704,0.548333,8.375536,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,26.923347,0.611121,0.597917,5.5833311,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,26.855,0.614921,0.639167,9.500332,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,26.376653,0.604808,0.727083,9.375243,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,27.435847,0.633213,0.716667,12.416775,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,29.075847,0.665429,0.742083,13.833289,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,27.606652999999998,0.625646,0.790417,14.250632,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,22.14,0.5152,0.886957,23.044181,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,24.565847,0.544229,0.917083,6.500393600000001,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,25.990433,0.555361,0.939565,12.914116,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,26.650000000000002,0.578946,0.897917,8.333393000000001,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,27.060000000000002,0.607962,0.75375,10.291736,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,26.786653,0.609229,0.71375,7.708618,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,26.418268,0.60213,0.692174,5.957171000000001,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,26.684153,0.603554,0.7125,9.500868,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,27.606652999999998,0.6269,0.697083,11.2091,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,23.677500000000002,0.553671,0.709167,18.166782,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,19.235847,0.461475,0.590417,11.000261,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,20.158347,0.478512,0.718333,12.708225,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,20.807499999999997,0.490537,0.695,11.958361,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,22.515846999999997,0.529675,0.69,10.166713999999999,691,3848,4539
